,Path,Pallets,Cost,Total Cost
1216,"['Countdown Hauraki Corner', 'Countdown Milford', 'Countdown Takapuna']",12.0,672.73,10983.44
126,"['Countdown Auckland City', 'Countdown Metro Albert Street', 'Countdown Metro Halsey Street']",4.0,362.43,0.0
1595,"['Countdown Lincoln Road', 'Countdown Henderson', 'Countdown Te Atatu']",14.0,706.57,0.0
1806,"['Countdown Lynmall', 'Countdown Kelston', 'Countdown Pt Chevalier']",13.0,635.22,0.0
1930,['Countdown Mangere East'],4.0,166.36,0.0
2210,"['Countdown Manukau Mall', 'Countdown Manukau', 'Countdown Papatoetoe']",13.0,521.13,0.0
2261,"['Countdown Manurewa', 'Countdown Airport', 'Countdown Mangere Mall']",13.0,566.59,0.0
264,"['Countdown Aviemore Drive', 'Countdown Howick', 'Countdown Meadowlands']",14.0,659.25,0.0
3012,"['Countdown Mt Eden', 'Countdown St Lukes', 'Countdown Mt Roskill']",13.0,561.33,0.0
3257,"['Countdown Mt Wellington', 'Countdown Pakuranga', 'Countdown Botany Downs']",12.0,575.38,0.0
331,"['Countdown Birkenhead', 'Countdown Glenfield', 'Countdown Northcote']",15.0,756.36,0.0
423,"['Countdown Blockhouse Bay', 'Countdown Lynfield']",7.0,368.7,0.0
4292,"['Countdown St Johns', 'Countdown Meadowbank', 'Countdown Sylvia Park']",13.0,598.2,0.0
4704,"['Countdown Takanini', 'Countdown Roselands', 'Countdown Papakura']",15.0,669.58,0.0
4958,"['Countdown Te Atatu South', 'Countdown Westgate', 'Countdown Hobsonville']",20.0,880.41,0.0
5083,"['Countdown Three Kings', 'Countdown Onehunga']",8.0,358.52,0.0
572,"['Countdown Browns Bay', 'Countdown Mairangi Bay', 'Countdown Sunnynook']",13.0,767.31,0.0
772,"['Countdown Greenlane', 'Countdown Newmarket', 'Countdown Victoria Street West']",12.0,575.45,0.0
959,"['Countdown Grey Lynn', 'Countdown Ponsonby', 'Countdown Grey Lynn Central']",13.0,581.92,0.0
